name,formatted_address,place_id,building,lat,lng,formatted_phone_number,international_phone_number,website,street_number,street_name,area,administrative_area_level_1,city
"Medeor 24x7 Hospital, Dubai","Consulates Area, Sheikh Khalifa Bin Zayed Road, Bur Dubai - Dubai - United Arab Emirates",ChIJQf800DFDXz4R93f6SHN6O6g,"Consulates Area, Sheikh Khalifa Bin Zayed Road, Bur Dubai",25.257404,55.30661199999999,800 55,+971 800 55,https://medeor.ae/dubai/,N/A,N/A,N/A,Dubai,Dubai
Zulekha Hospital Dubai,Opp Al Nahda Park - 204th Rd - Al Nahda - Al Nahda 2 - Dubai - United Arab Emirates,ChIJe_PwXBRcXz4RBAOjutYa96c,Opp Al Nahda Park,25.291117,55.384428,600 524442,+971 600 524442,http://www.zulekhahospitals.com/,N/A,204th Road,Al Nahda,Dubai,Dubai
American Hospital Dubai,12 American Hospital - 15th St - Oud Metha - Dubai - United Arab Emirates,ChIJeS6fIc1CXz4R-9zayaSISek,12 American Hospital,25.2353886,55.31316959999999,04 377 5500,+971 4 377 5500,https://www.ahdubai.com/,N/A,15th Street,Oud Metha,Dubai,Dubai
Al Zahra Hospital Dubai,Sheikh Zayed Rd - Al Barsha - Al Barsha 1 - Dubai - United Arab Emirates,ChIJS3AFlXVrXz4RFlR4wkldChs,"<span class=""street-address"">Sheikh Zayed Rd",25.1059573,55.1805302,04 378 6666,+971 4 378 6666,https://azhd.ae/,N/A,Sheikh Zayed Road,Al Barsha,Dubai,Dubai
PRIME Hospital,Airport Rd - next to Le Meridian Hotel - Al Garhoud - Dubai - United Arab Emirates,ChIJHTUUEBtdXz4RU0tGtSA-bkY,"<span class=""street-address"">Airport Rd",25.2497481,55.345651,04 292 9777,+971 4 292 9777,https://www.primehealth.ae/,N/A,Airport Road,Al Garhoud,Dubai,Dubai
NMC Specialty Hospital Al Nahda,"NMC Specialty Hospital 7 A St, Al Qusais, Al Nahda 2, Next to Bait AL Khair Building - Dubai - United Arab Emirates",ChIJeULz8mVcXz4R8wdEY4B6xrc,"NMC Specialty Hospital 7 A St, Al Qusais, Al Nahda 2, Next to Bait AL Khair Building",25.2900026,55.3693487,04 267 9999,+971 4 267 9999,https://nmc.ae/hospitals/dubai/nmc-specialty-hospital-al-nahda-14,N/A,N/A,النهدة,دبي,دبي
Aster Hospital - Mankhool,Al Raffa - Dubai - United Arab Emirates,ChIJTT9PSxdDXz4RQbK51bL6bT8,"<span class=""street-address"">Al Raffa",25.2522975,55.2887036,04 440 0500,+971 4 440 0500,https://www.asterhospitals.ae/locations/hospital-detail/aster-hospital-mankhool?utm_source=gmb&utm_medium=aster+hospital+-+mankhool,N/A,N/A,Al Raffa,Dubai,Dubai
International Modern Hospital,Port Rashid Road Al Mankhool Area - Dubai - United Arab Emirates,ChIJ8T9V8BpDXz4RqwDxOfmShyo,Port Rashid Road Al Mankhool Area,25.2486808,55.2832062,04 406 3000,+971 4 406 3000,https://www.imh.ae/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,N/A,N/A,Al Raffa,Dubai,Dubai
"Burjeel Hospital, Dubai",Al Quoz - Dubai - United Arab Emirates,ChIJscDxKSpqXz4Rx4JlNgBMu5g,Dubai,25.1468125,55.2235625,800 55,+971 800 55,https://burjeel.com/burjeelspecialty/,N/A,N/A,Al Quoz,Dubai,Dubai
Emirates Specialty Hospital,Building 62 Dubai Healthcare City - 26th St - Umm Hurair 2 - Dubai Healthcare City - Dubai - United Arab Emirates,ChIJo2OpWzRdXz4RLQAI98b2_iE,Building 62 Dubai Healthcare City,25.2319476,55.3174996,800 444444,+971 800 444444,https://emirateshospitals.ae/,N/A,26th Street,Umm Hurair 2,Dubai,Dubai
